name,height,weight,reach,stance,wins,losses,draws
Alexandre,Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18
Cezar,Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13
Diego,Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,19
Erisson,Ferreira,Gato,"5' 6""",125 lbs.,"70.0""",Orthodox,12
Brunno,Ferreira,The Hulk,"5' 10""",185 lbs.,"72.0""",Orthodox,14
Scott,Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4
Timo,Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8
Andre,Fialho,,"6' 0""",170 lbs.,"74.0""",Orthodox,16
Drew,Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42
Scott,Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0
Ron,Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28
Michal,Figlak,Mad Dog,"5' 10""",155 lbs.,"70.0""",Orthodox,8
Deiveson,Figueiredo,Deus da Guerra,"5' 5""",135 lbs.,"68.0""",Orthodox,24
Francisco,Figueiredo,Sniper,"5' 6""",125 lbs.,"68.0""",Southpaw,13
Anthony,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11
Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9
Jonathan,Figueroa,El Picante,--,185 lbs.,--,,12
Paulo,Filho,,"5' 8""",185 lbs.,--,Southpaw,23
Jafel,Filho,Pastor,"5' 7""",125 lbs.,"68.0""",Orthodox,16
Andre,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,24
Mirko,Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35
Brady,Fink,,"6' 0""",183 lbs.,--,Orthodox,2
Jesse,Finney,,"6' 0""",170 lbs.,--,,5
Jan,Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11
Torrez,Finney,The Punisher,"5' 8""",185 lbs.,"75.0""",Orthodox,11
Luigi,Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26
Nick,Fiore,,"5' 10""",155 lbs.,"72.0""",Orthodox,6
Manon,Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,12
Luiz,Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19
Spencer,Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24
Chris,Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18
Bryanna,Fissori,,"5' 4""",145 lbs.,--,,2
Jon,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30
Isi,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6
Rafael,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,13
Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14
AJ,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,10
Nathan,Fletcher,,"5' 7""",135 lbs.,"70.0""",Orthodox,9
Jimmy,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,17
Luke,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9
Ty,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7
Alejandro,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17
Kenny,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14
Darrius,Flowers,Beast Mode,"5' 9""",155 lbs.,"71.0""",Orthodox,12
Cody,Floyd,,--,--,--,,2
Bobby,Flynn,,--,170 lbs.,--,,6
Caros,Fodor,The Future,"5' 9""",155 lbs.,"74.0""",Orthodox,11
Mal,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5
Matt,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5
AJ,Fonseca,,"5' 4""",145 lbs.,--,,5
Rob,Font,,"5' 8""",135 lbs.,"71.0""",Orthodox,22
Claudionor,Fontinelle,,"5' 5""",185 lbs.,--,Orthodox,10
Jesse,Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15
Sterling,Ford,,"5' 10""",155 lbs.,--,,15
Codale,Ford,Crunch Time,"5' 9""",170 lbs.,--,,11
Raheam,Forest,Rambo,"5' 11""",170 lbs.,"73.0""",Switch,7
Jussier,Formiga,,"5' 5""",125 lbs.,"67.0""",Orthodox,23
Carol,Foro,,--,125 lbs.,--,,8
Renee,Forte,,"5' 7""",155 lbs.,"71.0""",Orthodox,8
Brianna,Fortino,The Bull,"5' 0""",115 lbs.,"62.0""",Southpaw,9
Marcel,Fortuna,,"6' 1""",205 lbs.,"74.0""",Orthodox,9
Brian,Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27
Xavier,Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32
Mason,Fowler,,"5' 11""",170 lbs.,--,,2
Brandon,Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18
Hermes,Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24
Glaico,Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15
Francisco,France,Kiko,"6' 0""",205 lbs.,--,,13
John,Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6
Felipe,Franco,Negao,--,205 lbs.,--,,8
Rich,Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29
Xavier,Franklin,Mr. Benjamin,"5' 6""",135 lbs.,"66.0""",Southpaw,5
Zoila,Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13
Stephanie,Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8
Zane,Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4
Gary,Frazier,,"6' 0""",245 lbs.,--,Orthodox,3
Justin,Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10
Ian,Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20
Jason,Freeman,,"6' 2""",225 lbs.,--,,6
Kennedy,Freeman,The Machine 2.0,--,125 lbs.,--,,6
Willamy,Freire,Chiquerim,"5' 8""",155 lbs.,--,Orthodox,26
Patricio,Freire,Pitbull,"5' 6""",145 lbs.,"67.0""",Orthodox,37
Patricky,Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17
Jeremy,Freitag,,"6' 1""",205 lbs.,--,,6
Rafael,Freitas,Capoeira,--,205 lbs.,--,Orthodox,3
Donavon,Frelow,,"5' 7""",135 lbs.,--,Orthodox,6
Josh,Fremd,,"6' 4""",185 lbs.,"76.0""",Orthodox,11
Clay,French,,"5' 7""",161 lbs.,--,Southpaw,19
Mike,French,,"5' 10""",145 lbs.,--,,9
Matt,Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,11
Jinh Yu,Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,11
Artem,Frolov,,"5' 10""",185 lbs.,--,,11
Sarah,Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9
Daniel,Frunza,,"6' 1""",170 lbs.,"73.0""",Orthodox,9
Don,Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20
Tony,Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14
Adam,Fugitt,,"6' 1""",170 lbs.,"77.0""",Southpaw,10
Jesse,Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2
Katsuhisa,Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9
Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26
Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15
Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17
Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24
Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11
Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253
Sam,Fulton,,--,--,--,,0
Masakatsu,Funaki,,"6' 0""",185 lbs.,--,Southpaw,39
Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9
Katsuaki,Furuki,,"6' 0""",168 lbs.,--,,1
James,Gabert,,--,178 lbs.,--,,6
Gustavo,Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13
Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18
Alavutdin,Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18
Magomed,Gadzhiyasulov,,"6' 2""",205 lbs.,"75.0""",Orthodox,9
Justin,Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,26
Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9
Muin,Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Orthodox,20
Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12
Brandon,Gaines,,"6' 3""",185 lbs.,--,,5
Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18
Dave,Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5
Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11
Mickey,Gall,,"6' 2""",170 lbs.,"74.0""",Switch,7
Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7
Tom,Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,19
Turrell,Galloway,,"5' 3""",145 lbs.,--,,8
Eric,Galvan,,--,155 lbs.,--,,0
Andre,Galvao,,"5' 7""",168 lbs.,--,Orthodox,5
Marcos,Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,18
Lucas,Gamaza,,--,170 lbs.,--,,8
Joey,Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,9
Manvel,Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,15
Mateusz,Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,25
Shamil,Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,14
Ryan,Gandra,Problema,--,185 lbs.,--,,7
Ariel,Gandulla,,"5' 11""",205 lbs.,--,Orthodox,7
Ciryl,Gane,Bon Gamin,"6' 4""",245 lbs.,"81.0""",Orthodox,13
Sean,Gannon,The Cannon,"6' 3""",265 lbs.,--,Southpaw,2
Thomas,Gantt,,--,185 lbs.,--,,10
Junye,Gao,,--,125 lbs.,--,,19
Eduardo,Garagorri,,"5' 9""",145 lbs.,"70.0""",Orthodox,13
Cody,Garbrandt,No Love,"5' 8""",135 lbs.,"65.0""",Orthodox,14
Leonard,Garcia,Bad Boy,"5' 10""",145 lbs.,"68.0""",Orthodox,18
Edgar,Garcia,,"5' 10""",170 lbs.,"71.0""",Orthodox,14
Alejandro,Garcia,Alex,"5' 7""",145 lbs.,--,,14
Alex,Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72.0""",Orthodox,15
Nick,Garcia,Nitro,"5' 4""",125 lbs.,--,,8
Steve,Garcia,Mean Machine,"6' 0""",145 lbs.,"75.0""",Southpaw,18
Elias,Garcia,,"5' 5""",125 lbs.,"67.0""",Southpaw,6
Rafa,Garcia,Gifted,"5' 7""",155 lbs.,"70.0""",Orthodox,17
Fernie,Garcia,,"5' 7""",135 lbs.,"67.0""",Orthodox,10
Rulon,Gardner,,"6' 3""",265 lbs.,--,Orthodox,1
David,Gardner,,"5' 11""",155 lbs.,--,Orthodox,18
Pablo,Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,12
Azamat,Gashimov,,"5' 6""",125 lbs.,--,Orthodox,8
Brian,Gassaway,,"6' 1""",170 lbs.,--,Orthodox,29
Kelvin,Gastelum,,"5' 9""",185 lbs.,"71.0""",Southpaw,20
Willie,Gates,,"5' 8""",125 lbs.,"72.0""",Orthodox,12
Melissa,Gatto,,"5' 5""",135 lbs.,"69.0""",Orthodox,9
Sean,Gauci,,"5' 5""",125 lbs.,"64.0""",Switch,10
Louis,Gaudinot,Goodnight,"5' 3""",125 lbs.,"63.0""",Orthodox,8
Ateba,Gautier,The Silent Assassin,"6' 4""",185 lbs.,"81.0""",Switch,8
Manuel,Gaxhja,,"5' 8""",155 lbs.,--,Switch,7
Shamil,Gaziev,,"6' 4""",265 lbs.,"78.0""",Orthodox,14
Charlene,Gellner,Princess,"5' 2""",125 lbs.,--,,0
Chad,George,Savage,"5' 6""",135 lbs.,"68.0""",Southpaw,16
Paul,Georgieff,,"6' 2""",170 lbs.,--,Orthodox,6
Brian,Geraghty,Duke,"5' 7""",155 lbs.,--,Orthodox,26
Derek,Getzel,The Pretzel,"6' 0""",155 lbs.,--,,8
Karine,Gevorgyan,The Princess,"5' 4""",125 lbs.,"63.0""",,3
Yanis,Ghemmouri,The Desert Warrior,"5' 9""",135 lbs.,"69.0""",Orthodox,12
Darrel,Gholar,,"5' 8""",194 lbs.,--,Orthodox,5
Tiki,Ghosn,,"5' 10""",170 lbs.,--,Orthodox,10
Christos,Giagos,The Spartan,"5' 10""",155 lbs.,"71.0""",Orthodox,20
Joe,Giannetti,,"6' 0""",155 lbs.,"74.0""",Southpaw,6
Nick,Gibbons,,"5' 10""",155 lbs.,--,,2
James,Giboo,,"5' 11""",170 lbs.,--,Orthodox,13
Lance,Gibson,Fearless,"5' 9""",185 lbs.,--,Orthodox,4
Lee,Gibson,Lethal,"5' 7""",155 lbs.,--,,12
Cody,Gibson,The Renegade,"5' 10""",135 lbs.,"71.0""",Orthodox,22
Chase,Gibson,El Guero,"5' 10""",155 lbs.,"72.0""",Orthodox,9
Kenny,Giddens,,"5' 11""",155 lbs.,--,,12
Thomas,Gifford,The Young Lion,"6' 1""",155 lbs.,"75.0""",Orthodox,14
Joseph,Gigliotti,Capo,"5' 11""",185 lbs.,--,Orthodox,7
Joey,Gilbert,,"5' 11""",155 lbs.,--,Orthodox,2
Trevin,Giles,,"6' 0""",170 lbs.,"74.0""",Orthodox,16
Kultar,Gill,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,12
Jesse,Gillespie,,--,185 lbs.,--,,3
Gregor,Gillespie,The Gift,"5' 7""",155 lbs.,"71.0""",Orthodox,14
Jason,Gilliam,,"6' 0""",170 lbs.,--,Orthodox,14
Micheal,Gillmore,The Gentleman,"5' 11""",170 lbs.,"72.0""",Orthodox,6
Krishaun,Gilmore,,--,--,--,,0
Alex,Gilpin,,"5' 7""",145 lbs.,--,Orthodox,11
Bob,Gilstrap,,"6' 3""",200 lbs.,--,Orthodox,5
Eperaim,Ginting,The Wolfman,"5' 4""",135 lbs.,"64.0""",Orthodox,6
Demetrius,Gioulacos,,"5' 11""",185 lbs.,--,,0
Billy,Giovanella,Wolverine,"5' 8""",125 lbs.,--,,9
He-Man,Gipson,,--,--,--,,1
Israel,Giron,El Rojo,"5' 8""",155 lbs.,--,,19
Brandon,Girtz,Cold Roll,"5' 7""",155 lbs.,--,,14
Jason,Glaza,,"6' 0""",230 lbs.,--,,3
Mike,Glenn,,--,205 lbs.,--,,5
Ricky,Glenn,The Gladiator,"6' 0""",170 lbs.,"70.0""",Southpaw,22
Ivan,Gnizditskiy,,--,205 lbs.,--,,5
Mark,Godbeer,The Hand Of,"6' 4""",240 lbs.,"77.0""",Orthodox,13
Clint,Godfrey,,"5' 6""",135 lbs.,--,Southpaw,13
Loopy,Godinez,,"5' 2""",115 lbs.,"61.0""",Orthodox,13
Jason,Godsey,,"6' 2""",230 lbs.,--,Orthodox,16
Allan,Goes,,"6' 0""",205 lbs.,--,Orthodox,10
Billy Ray,Goff,,"5' 10""",170 lbs.,"72.0""",Switch,9
Amiran,Gogoladze,,"6' 1""",170 lbs.,"74.0""",Switch,14
Jonny,Goh,,"5' 11""",155 lbs.,--,,3
Hannah,Goldy,24K,"5' 4""",115 lbs.,"61.0""",Orthodox,6
Marcelo,Golm,,"6' 3""",249 lbs.,"75.0""",Orthodox,6
Denise,Gomes,Dee,"5' 2""",115 lbs.,"63.0""",Orthodox,11
Sergio,Gomez,,"5' 6""",155 lbs.,--,Orthodox,10
Frank,Gomez,,"5' 10""",135 lbs.,"67.0""",Orthodox,10
Alan,Gomez,,--,155 lbs.,--,,2
David,Gomez,,--,155 lbs.,--,,1
Ulysses,Gomez,Useless,"5' 6""",125 lbs.,--,Orthodox,9
Joey,Gomez,KO King,"5' 10""",135 lbs.,"73.0""",Orthodox,6
Luis,Gomez,Tiger Junior,"5' 7""",145 lbs.,"68.0""",Orthodox,4
Joey,Gomez,,"5' 10""",155 lbs.,"71.0""",Orthodox,7
Edson,Gomez,,"5' 8""",170 lbs.,"69.0""",Switch,6
Silvana,Gomez Juarez,La Malvada,"5' 3""",115 lbs.,"65.0""",Orthodox,11
Takanori,Gomi,The Fireball Kid,"5' 7""",155 lbs.,"70.0""",Southpaw,35
William,Gomis,Jaguar,"6' 0""",145 lbs.,"73.0""",Southpaw,14
Akihiro,Gono,,"5' 7""",170 lbs.,"68.0""",Switch,35
Gabriel,Gonzaga,Napao,"6' 2""",242 lbs.,"76.0""",Orthodox,17
Justin,Gonzales,J-Train,"5' 9""",145 lbs.,"72.0""",Orthodox,6
Fernando,Gonzalez,The Menifee Maniac,"5' 9""",170 lbs.,"68.0""",Southpaw,26
Nick,Gonzalez,The Ghost,"5' 6""",155 lbs.,--,Orthodox,17
Fabian,Gonzalez,,"5' 10""",135 lbs.,--,,2
Lewis,Gonzalez,Lethal,"5' 10""",170 lbs.,--,Orthodox,11
Jason,Gonzalez,Nicoya,"6' 2""",155 lbs.,"74.0""",Southpaw,11
Pearl,Gonzalez,,"5' 4""",115 lbs.,--,Orthodox,6
Jorge,Gonzalez,Street,"6' 2""",205 lbs.,"76.0""",Orthodox,16
Mikey,Gonzalez,Rolls,"5' 11""",155 lbs.,"74.0""",Orthodox,7
Erick,Gonzalez,The Ghost Pepper,"5' 11""",155 lbs.,"75.0""",Orthodox,14
Jennifer,Gonzalez,Jefa,"5' 2""",125 lbs.,--,,13
Kier,Gooch,,--,155 lbs.,--,,2
Lyman,Good,Cyborg,"6' 0""",170 lbs.,"74.0""",Orthodox,21
Jared,Gooden,NiteTrain,"6' 0""",170 lbs.,"77.0""",Orthodox,23
Gary,Goodridge,Big Daddy,"6' 3""",249 lbs.,--,Orthodox,23
Jordan,Goodwin,,--,155 lbs.,--,,0
Gerard,Gordeau,,"6' 5""",216 lbs.,--,Orthodox,2
Eddie,Gordon,Truck,"6' 0""",185 lbs.,"76.0""",Orthodox,8
Jared,Gordon,Flash,"5' 9""",155 lbs.,"68.0""",Orthodox,21
Tebaris,Gordon,Boom,"6' 1""",265 lbs.,--,Orthodox,3
Malcolm,Gordon,X,"5' 7""",125 lbs.,"71.0""",Switch,14
Tresean,Gore,Mr. Vicious,"6' 0""",185 lbs.,"75.0""",Switch,6
Alex,Gorgees,Hitman,"6' 2""",155 lbs.,"74.0""",Switch,6
Themba,Gorimbo,The Answer,"6' 1""",170 lbs.,"77.0""",Orthodox,14
Tim,Gorman,The Psycho,"5' 5""",135 lbs.,--,Southpaw,9
Chase,Gormley,,"6' 3""",265 lbs.,--,Orthodox,14
Jonathan,Goulet,The Road Warrior,"6' 0""",170 lbs.,"73.0""",Orthodox,23
Thibault,Gouti,GT,"5' 10""",155 lbs.,"72.0""",Orthodox,12
Wilson,Gouveia,,"6' 1""",185 lbs.,"76.0""",Orthodox,14
Todd,Gouwenberg,,"6' 1""",205 lbs.,--,Orthodox,9
Hugo,Govea,,--,--,--,,0
Justin,Governale,The Therapist,--,145 lbs.,--,,5
Damian,Grabowski,The Polish Pitbull,"6' 1""",241 lbs.,"75.0""",Orthodox,20
Patryk,Grabowski,Czapla,--,205 lbs.,--,,5
Royce,Gracie,,"6' 1""",175 lbs.,--,Southpaw,15
Crosley,Gracie,,"5' 9""",190 lbs.,--,Orthodox,2
Daniel,Gracie,,"6' 2""",225 lbs.,--,Orthodox,5
Ralph,Gracie,,"5' 9""",183 lbs.,--,Orthodox,6
Renzo,Gracie,,"5' 10""",185 lbs.,--,Orthodox,13
Rickson,Gracie,,"5' 10""",185 lbs.,--,Switch,11
Rodrigo,Gracie,,"6' 0""",183 lbs.,--,Orthodox,6
Royler,Gracie,,"5' 8""",150 lbs.,--,Southpaw,5
Ryan,Gracie,,"5' 9""",200 lbs.,--,Orthodox,5
Ralek,Gracie,,"6' 2""",210 lbs.,--,Orthodox,3
Rolles,Gracie,,"6' 4""",242 lbs.,--,Orthodox,8
Cesar,Gracie,,"5' 10""",181 lbs.,--,Orthodox,0
Roger,Gracie,,"6' 4""",185 lbs.,"79.0""",Orthodox,8
Igor,Gracie,,"5' 11""",170 lbs.,--,,5
Neiman,Gracie,,"6' 0""",170 lbs.,--,,6
Kron,Gracie,,"5' 9""",145 lbs.,"70.0""",Southpaw,5
Bogdan,Grad,The Unleashed,"5' 8""",145 lbs.,"70.0""",Orthodox,15
Steven,Graham,,"6' 1""",290 lbs.,--,Orthodox,2
Scott,Graham,,"6' 4""",185 lbs.,--,Orthodox,3
Miranda,Granger,Danger,"5' 7""",115 lbs.,"68.0""",Orthodox,7
TJ,Grant,,"5' 10""",155 lbs.,"72.0""",Orthodox,21
Davey,Grant,Dangerous,"5' 8""",135 lbs.,"69.0""",Orthodox,17
Dwight,Grant,The Body Snatcher,"6' 1""",185 lbs.,"76.0""",Switch,11
Alexa,Grasso,,"5' 5""",125 lbs.,"66.0""",Orthodox,16
Tony,Gravely,,"5' 5""",135 lbs.,"69.0""",Orthodox,23
Michael,Graves,,"5' 10""",170 lbs.,"71.0""",Orthodox,6
Shelton,Graves,The Gravedigger,"6' 2""",255 lbs.,"76.0""",Southpaw,7
James,Gray,The Phenom,"5' 9""",135 lbs.,--,Orthodox,4
Kevin,Gray,Pocket Herc,"5' 4""",125 lbs.,"67.0""",Orthodox,9
Sam,Greco,,"6' 2""",205 lbs.,--,Orthodox,3
King,Green,,"5' 10""",155 lbs.,"71.0""",Orthodox,32
Desmond,Green,The Predator,"5' 10""",155 lbs.,"73.0""",Southpaw,23
Gabe,Green,Gifted,"5' 10""",155 lbs.,"73.0""",Switch,12
Maurice,Greene,The Crochet Boss,"6' 7""",258 lbs.,"80.0""",Orthodox,9
Matt,Grice,The Real One,"5' 8""",145 lbs.,"70.0""",Orthodox,15
Forrest,Griffin,,"6' 3""",205 lbs.,"77.0""",Orthodox,19
Tyson,Griffin,,"5' 6""",145 lbs.,"68.0""",Orthodox,16
Max,Griffin,Pain,"5' 11""",170 lbs.,"76.0""",Orthodox,20
Jordan,Griffin,Native Psycho,"5' 10""",145 lbs.,"73.0""",Southpaw,18
Chad,Griggs,The Grave Digger,"6' 1""",205 lbs.,"73.0""",Orthodox,11
Charalampos,Grigoriou,Ferocious,"5' 7""",135 lbs.,"67.0""",Orthodox,8
Chuck,Grigsby,The Reverend,"6' 6""",205 lbs.,--,Orthodox,23
Rodrigo,Gripp de Sousa,Riscado,"5' 11""",205 lbs.,--,Orthodox,7
Maxim,Grishin,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,32
Josh,Grispi,The Fluke,"5' 11""",145 lbs.,"74.0""",Orthodox,14
Garrett,Gross,,"5' 9""",155 lbs.,--,Orthodox,11
Kendall,Grove,Da Spyder,"6' 6""",185 lbs.,"79.0""",Orthodox,23
Neil,Grove,Goliath,"6' 6""",265 lbs.,--,Orthodox,12
Chris,Gruetzemacher,Gritz,"5' 8""",155 lbs.,"68.0""",Orthodox,15
Vik,Grujic,The Spartan,"5' 11""",170 lbs.,"73.0""",Orthodox,6
Mike,Grundy,,"5' 7""",145 lbs.,"72.0""",Orthodox,12
Wang,Guan,The Dongbei Tiger,"5' 9""",145 lbs.,"71.0""",Orthodox,20
Anthony,Guarascio,The Daywalker,--,265 lbs.,--,,4
Nandor,Guelmino,The Hun,"6' 3""",230 lbs.,--,,11
Fabricio,Guerreiro,,"5' 10""",145 lbs.,--,,21
Rainn,Guerrero,Purple Rainn,"5' 6""",125 lbs.,"65.0""",Orthodox,5
Shannon,Gugerty,,"5' 10""",155 lbs.,"71.0""",Orthodox,15
Clay,Guida,The Carpenter,"5' 7""",155 lbs.,"70.0""",Orthodox,38
Jason,Guida,,"5' 10""",214 lbs.,--,,19
Melvin,Guillard,The Young Assassin,"5' 9""",155 lbs.,"71.0""",Orthodox,32
Chris,Guillen,,"6' 0""",240 lbs.,--,Orthodox,13
Marcelo,Guimaraes,Magrao,"6' 0""",185 lbs.,"73.0""",Orthodox,9
Leonardo,Guimaraes,Leleco,"6' 0""",185 lbs.,--,Orthodox,11
Brad,Gumm,,"5' 11""",170 lbs.,--,Orthodox,10
John,Gunderson,Quick Guns,"5' 9""",155 lbs.,"69.0""",Orthodox,35
John,Gunther,The Machine,"5' 9""",155 lbs.,"72.0""",Orthodox,5
Jorge,Gurgel,,"5' 7""",155 lbs.,"69.0""",Orthodox,14
Fabio,Gurgel,,"6' 0""",205 lbs.,--,Orthodox,3
Luis,Gurule,Grim,"5' 5""",125 lbs.,"64.0""",Orthodox,10
Bogdan,Guskov,Czarevitch,"6' 3""",205 lbs.,"76.0""",Orthodox,18
Gugun,Gusman,The Tiger,"5' 7""",135 lbs.,"68.0""",Orthodox,8
Andre,Gusmao,,"6' 0""",205 lbs.,--,Orthodox,6
Alexander,Gustafsson,The Mauler,"6' 5""",205 lbs.,"79.0""",Orthodox,18
Andreas,Gustafsson,Bane,"6' 1""",170 lbs.,"73.0""",Orthodox,12
Justin,Guthrie,,"6' 1""",170 lbs.,--,,18
Horacio,Gutierrez,The Punisher,"5' 10""",145 lbs.,--,,4
Chris,Gutierrez,El Guapo,"5' 9""",135 lbs.,"67.0""",Orthodox,22
Mando,Gutierrez,El Toro,"5' 6""",135 lbs.,"70.0""",Southpaw,7
Mike,Guymon,The Joker,"6' 0""",170 lbs.,"74.0""",Orthodox,15
Chelsea,Hackett,Hammer,"5' 4""",125 lbs.,"66.0""",Switch,3
Keith,Hackney,The Giant Killer,"5' 11""",200 lbs.,--,Sideways,2
Cody,Haddon,,"5' 7""",135 lbs.,"69.0""",Orthodox,8
Jake,Hadley,White Kong,"5' 7""",135 lbs.,"70.0""",Southpaw,11
Steve,Hadsel,,"5' 8""",170 lbs.,--,,3
Damir,Hadzovic,The Bosnian Bomber,"5' 9""",155 lbs.,"70.0""",Orthodox,14
Bassil,Hafez,The Habibi,"5' 11""",170 lbs.,"72.0""",Orthodox,9
Tim,Hague,The Trashing Machine,"6' 4""",260 lbs.,"76.0""",Orthodox,21
Theo,Haig,,--,185 lbs.,--,,6
Yazan,Hajeh,Yazzle Dazzle,"5' 9""",145 lbs.,--,Orthodox,6
Stoney,Hale,The Skuller,"6' 0""",--,--,,5
Kevin,Haley,The North Woods Nightmare,"6' 2""",205 lbs.,--,,6
Mark,Hall,,"6' 0""",190 lbs.,--,Orthodox,5
Uriah,Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,18
Ryan,Hall,The Wizard,"5' 10""",145 lbs.,"70.0""",Southpaw,9
Dennis,Hallman,Superman,"5' 9""",155 lbs.,"72.0""",Orthodox,53
Piotr,Hallmann,Pletwal,"5' 9""",155 lbs.,"71.0""",Orthodox,18
Tony,Halme,,"6' 3""",300 lbs.,--,Orthodox,0
Brandon,Halsey,Bull,"6' 0""",185 lbs.,--,,9
John,Halverson,The Hurricane,"5' 9""",155 lbs.,--,Southpaw,16
Seo Hee,Ham,,"5' 2""",115 lbs.,"62.0""",Southpaw,17
Frank,Hamaker,,--,--,--,,1
Kazuhiro,Hamanaka,,"6' 0""",185 lbs.,--,Southpaw,5
